externalId,name,symbol,longName,quantity,multiplier,offset,source,sourceReference
api_gravity:degree_api,DEGREE_API,°API,Degree API,API Gravity,0,None,qudt.org,http://qudt.org/vocab/unit/DEGREE_API
absolute_activity:bq-sec-per-m3,BQ-SEC-PER-M3,Bq⋅s/m³,Becquerels second per cubic metre,Absolute Activity,1,None,qudt.org,http://qudt.org/vocab/unit/BQ-SEC-PER-M3
absolute_humidity:grain-per-gal,GRAIN-PER-GAL,grain{UK}/gal,Grain per Gallon,Absolute Humidity,0.017118061,None,qudt.org,http://qudt.org/vocab/unit/GRAIN-PER-GAL
absolute_humidity:oz-per-in3,OZ-PER-IN3,oz/in³{US},Imperial Mass Ounce per Cubic Inch,Absolute Humidity,1729.99404,None,qudt.org,http://qudt.org/vocab/unit/OZ-PER-IN3
absolute_humidity:oz-per-gal,OZ-PER-GAL,oz/gal{US},Imperial Mass Ounce per Gallon,Absolute Humidity,6.23602329,None,qudt.org,http://qudt.org/vocab/unit/OZ-PER-GAL
absolute_humidity:ton_long-per-yd3,TON_LONG-PER-YD3,t{long}/yd³,Long Ton per Cubic Yard,Absolute Humidity,1328.939184,None,qudt.org,http://qudt.org/vocab/unit/TON_LONG-PER-YD3
absolute_humidity:lb-per-gal_uk,LB-PER-GAL_UK,lb/gal{UK},Pound (avoirdupois) Per Gallon (UK),Absolute Humidity,99.77637,None,qudt.org,http://qudt.org/vocab/unit/LB-PER-GAL_UK
absolute_humidity:lb-per-gal_us,LB-PER-GAL_US,lb/gal{US},Pound (avoirdupois) Per Gallon (US),Absolute Humidity,83.0812213,None,qudt.org,http://qudt.org/vocab/unit/LB-PER-GAL_US
absolute_humidity:lb-per-ft3,LB-PER-FT3,lb/ft³,Pound per Cubic Foot,Absolute Humidity,16.01846337,None,qudt.org,http://qudt.org/vocab/unit/LB-PER-FT3
absolute_humidity:lb-per-in3,LB-PER-IN3,lb/in³,Pound per Cubic Inch,Absolute Humidity,27679.90471,None,qudt.org,http://qudt.org/vocab/unit/LB-PER-IN3
absolute_humidity:lb-per-m3,LB-PER-M3,lb/m³,Pound per Cubic Metre,Absolute Humidity,0.45359237,None,qudt.org,http://qudt.org/vocab/unit/LB-PER-M3
absolute_humidity:lb-per-yd3,LB-PER-YD3,lb/yd³,Pound per Cubic Yard,Absolute Humidity,0.5932764213,None,qudt.org,http://qudt.org/vocab/unit/LB-PER-YD3
absolute_humidity:lb-per-gal,LB-PER-GAL,lb/gal,Pound per Gallon,Absolute Humidity,99.7763727,None,qudt.org,http://qudt.org/vocab/unit/LB-PER-GAL
absolute_humidity:ton_short-per-yd3,TON_SHORT-PER-YD3,ton{short}/yd³,Short Ton per Cubic Yard,Absolute Humidity,1186.552843,None,qudt.org,http://qudt.org/vocab/unit/TON_SHORT-PER-YD3
absolute_humidity:slug-per-ft3,SLUG-PER-FT3,slug/ft³,Slug per Cubic Foot,Absolute Humidity,515.3788206,None,qudt.org,http://qudt.org/vocab/unit/SLUG-PER-FT3
absolute_humidity:kilogm-per-m3,KiloGM-PER-M3,kg/m³,kilogram per cubic metre,Absolute Humidity,1,None,qudt.org,http://qudt.org/vocab/unit/KiloGM-PER-M3
absolute_humidity:milligm-per-decil,MilliGM-PER-DeciL,mg/dL,milligrams per decilitre,Absolute Humidity,0.01,None,qudt.org,http://qudt.org/vocab/unit/MilliGM-PER-DeciL
absorbed_dose:microgray,MicroGRAY,µGy,MicroGray,Absorbed Dose,1.00E-06,None,qudt.org,http://qudt.org/vocab/unit/MicroGRAY
absorbed_dose:millirad_r,MilliRAD_R,mrad,MilliRad,Absorbed Dose,1.00E-05,None,qudt.org,http://qudt.org/vocab/unit/MilliRAD_R
absorbed_dose:milligray,MilliGRAY,mGy,Milligray,Absorbed Dose,0.001,None,qudt.org,http://qudt.org/vocab/unit/MilliGRAY
absorbed_dose:rad_r,RAD_R,rad,Rad,Absorbed Dose,0.01,None,qudt.org,http://qudt.org/vocab/unit/RAD_R
absorbed_dose:gray,GRAY,Gy,gray,Absorbed Dose,1,None,qudt.org,http://qudt.org/vocab/unit/GRAY
absorbed_dose_rate:erg-per-gm-sec,ERG-PER-GM-SEC,erg/(g⋅s),Erg Per Gram Second,Absorbed Dose Rate,0.0001,None,qudt.org,http://qudt.org/vocab/unit/ERG-PER-GM-SEC
absorbed_dose_rate:gray-per-sec,GRAY-PER-SEC,Gy/s,Gray per Second,Absorbed Dose Rate,1,None,qudt.org,http://qudt.org/vocab/unit/GRAY-PER-SEC
absorbed_dose_rate:w-per-kilogm,W-PER-KiloGM,W/kg,Watt Per Kilogram,Absorbed Dose Rate,1,None,qudt.org,http://qudt.org/vocab/unit/W-PER-KiloGM
absorptance:unitless,UNITLESS,ä¸,Unitless,Absorptance,1,None,qudt.org,http://qudt.org/vocab/unit/UNITLESS
acceleration_of_gravity:centim-per-sec2,CentiM-PER-SEC2,cm/s²,Centimetre per Square Second,Acceleration Of Gravity,0.01,None,qudt.org,http://qudt.org/vocab/unit/CentiM-PER-SEC2
acceleration_of_gravity:ft-per-sec2,FT-PER-SEC2,ft/s²,Foot per Square Second,Acceleration Of Gravity,0.3048,None,qudt.org,http://qudt.org/vocab/unit/FT-PER-SEC2
acceleration_of_gravity:galileo,GALILEO,Gal,Galileo,Acceleration Of Gravity,0.01,None,qudt.org,http://qudt.org/vocab/unit/GALILEO
acceleration_of_gravity:g,G,G,Gravity,Acceleration Of Gravity,9.80665,None,qudt.org,http://qudt.org/vocab/unit/G
acceleration_of_gravity:in-per-sec2,IN-PER-SEC2,in/s²,Inch per Square second,Acceleration Of Gravity,0.0254,None,qudt.org,http://qudt.org/vocab/unit/IN-PER-SEC2
acceleration_of_gravity:kilopa-m2-per-gm,KiloPA-M2-PER-GM,kPa⋅m²/g,Kilopascal Square Metre per Gram,Acceleration Of Gravity,1000000,None,qudt.org,http://qudt.org/vocab/unit/KiloPA-M2-PER-GM
acceleration_of_gravity:kn-per-sec,KN-PER-SEC,kn/s,Knot per Second,Acceleration Of Gravity,0.5144444444,None,qudt.org,http://qudt.org/vocab/unit/KN-PER-SEC
acceleration_of_gravity:m-per-sec2,M-PER-SEC2,m/s²,Metre per Square Second,Acceleration Of Gravity,1,None,qudt.org,http://qudt.org/vocab/unit/M-PER-SEC2
acceleration_of_gravity:microg,MicroG,µG,Microgravity,Acceleration Of Gravity,9.81E-06,None,qudt.org,http://qudt.org/vocab/unit/MicroG
acceleration_of_gravity:milligal,MilliGAL,mgal,Milligal,Acceleration Of Gravity,1.00E-05,None,qudt.org,http://qudt.org/vocab/unit/MilliGAL
acceleration_of_gravity:millig,MilliG,mG,Milligravity,Acceleration Of Gravity,0.00980665,None,qudt.org,http://qudt.org/vocab/unit/MilliG
acceptor_density:num-per-m3,NUM-PER-M3,/m³,Number per cubic metre,Acceptor Density,1,None,qudt.org,http://qudt.org/vocab/unit/NUM-PER-M3
acceptor_density:num-per-l,NUM-PER-L,/L,Number per litre,Acceptor Density,1000,None,qudt.org,http://qudt.org/vocab/unit/NUM-PER-L
acceptor_density:num-per-microl,NUM-PER-MicroL,/µL,Number per microlitre,Acceptor Density,1000000000,None,qudt.org,http://qudt.org/vocab/unit/NUM-PER-MicroL
acceptor_density:num-per-nanol,NUM-PER-NanoL,/nL,Number per nanolitre,Acceptor Density,2147483647,None,qudt.org,http://qudt.org/vocab/unit/NUM-PER-NanoL
acceptor_density:per-m3,PER-M3,/m³,Reciprocal Cubic Metre,Acceptor Density,1,None,qudt.org,http://qudt.org/vocab/unit/PER-M3
acceptor_ionization_energy:attoj,AttoJ,aJ,Attojoule,Acceptor Ionization Energy,1.00E-18,None,qudt.org,http://qudt.org/vocab/unit/AttoJ
acceptor_ionization_energy:btu_it,BTU_IT,Btu{IT},British Thermal Unit (International Definition),Acceptor Ionization Energy,1055.055853,None,qudt.org,http://qudt.org/vocab/unit/BTU_IT
acceptor_ionization_energy:btu_th,BTU_TH,Btu{th},British Thermal Unit (Thermochemical Definition),Acceptor Ionization Energy,1054.350265,None,qudt.org,http://qudt.org/vocab/unit/BTU_TH
acceptor_ionization_energy:ev,EV,eV,Electron Volt,Acceptor Ionization Energy,1.60E-19,None,qudt.org,http://qudt.org/vocab/unit/EV
acceptor_ionization_energy:erg,ERG,erg,Erg,Acceptor Ionization Energy,1.00E-07,None,qudt.org,http://qudt.org/vocab/unit/ERG
acceptor_ionization_energy:exaj,ExaJ,EJ,Exajoule,Acceptor Ionization Energy,1.00E+18,None,qudt.org,http://qudt.org/vocab/unit/ExaJ
acceptor_ionization_energy:femtoj,FemtoJ,fJ,Femtojoule,Acceptor Ionization Energy,1.00E-15,None,qudt.org,http://qudt.org/vocab/unit/FemtoJ
acceptor_ionization_energy:ft-lb_f,FT-LB_F,ft⋅lbf,Foot Pound Force,Acceptor Ionization Energy,1.35581807,None,qudt.org,http://qudt.org/vocab/unit/FT-LB_F
acceptor_ionization_energy:ft-pdl,FT-PDL,ft⋅pdl,Foot Poundal,Acceptor Ionization Energy,0.04214011009,None,qudt.org,http://qudt.org/vocab/unit/FT-PDL
acceptor_ionization_energy:gigaev,GigaEV,GeV,Giga Electron Volt,Acceptor Ionization Energy,1.60E-10,None,qudt.org,http://qudt.org/vocab/unit/GigaEV
acceptor_ionization_energy:gigaj,GigaJ,GJ,Gigajoule,Acceptor Ionization Energy,1000000000,None,qudt.org,http://qudt.org/vocab/unit/GigaJ
acceptor_ionization_energy:gigaw-hr,GigaW-HR,GW⋅hr,Gigawatt Hour,Acceptor Ionization Energy,3600000000000,None,qudt.org,http://qudt.org/vocab/unit/GigaW-HR
acceptor_ionization_energy:e_h,E_h,Ha,Hartree,Acceptor Ionization Energy,4.36E-18,None,qudt.org,http://qudt.org/vocab/unit/E_h
acceptor_ionization_energy:cal_it,CAL_IT,cal{IT},International Table calorie,Acceptor Ionization Energy,4.1868,None,qudt.org,http://qudt.org/vocab/unit/CAL_IT
acceptor_ionization_energy:kilobtu_it,KiloBTU_IT,kBtu{IT},Kilo British Thermal Unit (International Definition),Acceptor Ionization Energy,105505.5853,None,qudt.org,http://qudt.org/vocab/unit/KiloBTU_IT
acceptor_ionization_energy:kilobtu_th,KiloBTU_TH,kBtu{th},Kilo British Thermal Unit (Thermochemical Definition),Acceptor Ionization Energy,1054350.265,None,qudt.org,http://qudt.org/vocab/unit/KiloBTU_TH
acceptor_ionization_energy:kiloev,KiloEV,keV,Kilo Electron Volt,Acceptor Ionization Energy,1.60E-16,None,qudt.org,http://qudt.org/vocab/unit/KiloEV
acceptor_ionization_energy:kilocal,KiloCAL,kcal,Kilocalorie,Acceptor Ionization Energy,4184,None,qudt.org,http://qudt.org/vocab/unit/KiloCAL
acceptor_ionization_energy:kiloj,KiloJ,kJ,Kilojoule,Acceptor Ionization Energy,1000,None,qudt.org,http://qudt.org/vocab/unit/KiloJ
acceptor_ionization_energy:kilov-a-hr,KiloV-A-HR,kV⋅A/hr,Kilovolt Ampere Hour,Acceptor Ionization Energy,3600000,None,qudt.org,http://qudt.org/vocab/unit/KiloV-A-HR
acceptor_ionization_energy:kilov-a_reactive-hr,KiloV-A_Reactive-HR,kV⋅A{Reactive}⋅hr,Kilovolt Ampere Reactive Hour,Acceptor Ionization Energy,3600000,None,qudt.org,http://qudt.org/vocab/unit/KiloV-A_Reactive-HR
acceptor_ionization_energy:kilow-hr,KiloW-HR,kW⋅h,Kilowatthour,Acceptor Ionization Energy,3600000,None,qudt.org,http://qudt.org/vocab/unit/KiloW-HR
acceptor_ionization_energy:megaev,MegaEV,MeV,Mega Electron Volt,Acceptor Ionization Energy,1.60E-13,None,qudt.org,http://qudt.org/vocab/unit/MegaEV
acceptor_ionization_energy:megaj,MegaJ,MJ,Megajoule,Acceptor Ionization Energy,1000000,None,qudt.org,http://qudt.org/vocab/unit/MegaJ
acceptor_ionization_energy:megatoe,MegaTOE,megatoe,Megaton of Oil Equivalent,Acceptor Ionization Energy,4.19E+16,None,qudt.org,http://qudt.org/vocab/unit/MegaTOE
acceptor_ionization_energy:megav-a-hr,MegaV-A-HR,MV⋅A⋅hr,Megavolt Ampere Hour,Acceptor Ionization Energy,3600000000,None,qudt.org,http://qudt.org/vocab/unit/MegaV-A-HR
acceptor_ionization_energy:megav-a_reactive-hr,MegaV-A_Reactive-HR,MV⋅A{Reactive}⋅hr,Megavolt Ampere Reactive Hour,Acceptor Ionization Energy,3600000000,None,qudt.org,http://qudt.org/vocab/unit/MegaV-A_Reactive-HR
acceptor_ionization_energy:megaw-hr,MegaW-HR,MW⋅hr,Megawatt Hour,Acceptor Ionization Energy,3600000000,None,qudt.org,http://qudt.org/vocab/unit/MegaW-HR
acceptor_ionization_energy:microj,MicroJ,µJ,Micro Joule,Acceptor Ionization Energy,1.00E-06,0,qudt.org,http://qudt.org/vocab/unit/MicroJ
acceptor_ionization_energy:millij,MilliJ,mJ,Millijoule,Acceptor Ionization Energy,0.001,None,qudt.org,http://qudt.org/vocab/unit/MilliJ
acceptor_ionization_energy:petaj,PetaJ,PJ,Petajoule,Acceptor Ionization Energy,1E+15,None,qudt.org,http://qudt.org/vocab/unit/PetaJ
acceptor_ionization_energy:quad,QUAD,quad,Quad,Acceptor Ionization Energy,1.06E+18,None,qudt.org,http://qudt.org/vocab/unit/QUAD
acceptor_ionization_energy:thm_eec,THM_EEC,thm{EEC},THM_EEC,Acceptor Ionization Energy,None,None,qudt.org,http://qudt.org/vocab/unit/THM_EEC
acceptor_ionization_energy:teraj,TeraJ,TJ,Terajoule,Acceptor Ionization Energy,1000000000000,None,qudt.org,http://qudt.org/vocab/unit/TeraJ
acceptor_ionization_energy:teraw-hr,TeraW-HR,TW⋅hr,Terawatt Hour,Acceptor Ionization Energy,3.6E+15,None,qudt.org,http://qudt.org/vocab/unit/TeraW-HR
acceptor_ionization_energy:thm_us,THM_US,thm{US},Therm US,Acceptor Ionization Energy,105480400,None,qudt.org,http://qudt.org/vocab/unit/THM_US
acceptor_ionization_energy:cal_th,CAL_TH,cal,Thermochemical Calorie,Acceptor Ionization Energy,4.184,None,qudt.org,http://qudt.org/vocab/unit/CAL_TH
acceptor_ionization_energy:tonenergy,TonEnergy,t/lbf,Ton Energy,Acceptor Ionization Energy,4184000000,None,qudt.org,http://qudt.org/vocab/unit/TonEnergy
acceptor_ionization_energy:toe,TOE,toe,Ton of Oil Equivalent,Acceptor Ionization Energy,41868000000,None,qudt.org,http://qudt.org/vocab/unit/TOE
acceptor_ionization_energy:v-a-hr,V-A-HR,V⋅A⋅hr,Volt Ampere Hour,Acceptor Ionization Energy,3600,None,qudt.org,http://qudt.org/vocab/unit/V-A-HR
acceptor_ionization_energy:v-a_reactive-hr,V-A_Reactive-HR,V⋅A{reactive}⋅hr,Volt Ampere Reactive Hour,Acceptor Ionization Energy,3600,None,qudt.org,http://qudt.org/vocab/unit/V-A_Reactive-HR
acceptor_ionization_energy:w-sec,W-SEC,W⋅s,Watt Second,Acceptor Ionization Energy,1,None,qudt.org,http://qudt.org/vocab/unit/W-SEC
acceptor_ionization_energy:w-hr,W-HR,W⋅hr,Watthour,Acceptor Ionization Energy,3600,None,qudt.org,http://qudt.org/vocab/unit/W-HR
acceptor_ionization_energy:j,J,J,joule,Acceptor Ionization Energy,1,None,qudt.org,http://qudt.org/vocab/unit/J
acidity:ph,PH,pH,Acidity,Acidity,None,None,qudt.org,http://qudt.org/vocab/unit/PH
acoustic_impediance:pa-sec-per-m,PA-SEC-PER-M,Pa⋅s/m,Pascal Second Per Metre,Acoustic Impediance,1,None,qudt.org,http://qudt.org/vocab/unit/PA-SEC-PER-M
action:attoj-sec,AttoJ-SEC,aJ⋅s,Attojoule Second,Action,1.00E-18,None,qudt.org,http://qudt.org/vocab/unit/AttoJ-SEC
action:j-sec,J-SEC,J⋅s,joule second,Action,1,None,qudt.org,http://qudt.org/vocab/unit/J-SEC
active_energy:attoj,AttoJ,aJ,Attojoule,Active Energy,1.00E-18,None,qudt.org,http://qudt.org/vocab/unit/AttoJ
active_energy:btu_it,BTU_IT,Btu{IT},British Thermal Unit (International Definition),Active Energy,1055.055853,None,qudt.org,http://qudt.org/vocab/unit/BTU_IT
active_energy:btu_th,BTU_TH,Btu{th},British Thermal Unit (Thermochemical Definition),Active Energy,1054.350265,None,qudt.org,http://qudt.org/vocab/unit/BTU_TH
active_energy:ev,EV,eV,Electron Volt,Active Energy,1.60E-19,None,qudt.org,http://qudt.org/vocab/unit/EV
active_energy:erg,ERG,erg,Erg,Active Energy,1.00E-07,None,qudt.org,http://qudt.org/vocab/unit/ERG
active_energy:exaj,ExaJ,EJ,Exajoule,Active Energy,1.00E+18,None,qudt.org,http://qudt.org/vocab/unit/ExaJ
active_energy:femtoj,FemtoJ,fJ,Femtojoule,Active Energy,1.00E-15,None,qudt.org,http://qudt.org/vocab/unit/FemtoJ
active_energy:ft-lb_f,FT-LB_F,ft⋅lbf,Foot Pound Force,Active Energy,1.35581807,None,qudt.org,http://qudt.org/vocab/unit/FT-LB_F
active_energy:ft-pdl,FT-PDL,ft⋅pdl,Foot Poundal,Active Energy,0.04214011009,None,qudt.org,http://qudt.org/vocab/unit/FT-PDL
active_energy:gigaev,GigaEV,GeV,Giga Electron Volt,Active Energy,1.60E-10,None,qudt.org,http://qudt.org/vocab/unit/GigaEV
active_energy:gigaj,GigaJ,GJ,Gigajoule,Active Energy,1000000000,None,qudt.org,http://qudt.org/vocab/unit/GigaJ
active_energy:gigaw-hr,GigaW-HR,GW⋅hr,Gigawatt Hour,Active Energy,3600000000000,None,qudt.org,http://qudt.org/vocab/unit/GigaW-HR
active_energy:e_h,E_h,Ha,Hartree,Active Energy,4.36E-18,None,qudt.org,http://qudt.org/vocab/unit/E_h
active_energy:cal_it,CAL_IT,cal{IT},International Table calorie,Active Energy,4.1868,None,qudt.org,http://qudt.org/vocab/unit/CAL_IT
active_energy:kilobtu_it,KiloBTU_IT,kBtu{IT},Kilo British Thermal Unit (International Definition),Active Energy,105505.5853,None,qudt.org,http://qudt.org/vocab/unit/KiloBTU_IT
active_energy:kilobtu_th,KiloBTU_TH,kBtu{th},Kilo British Thermal Unit (Thermochemical Definition),Active Energy,1054350.265,None,qudt.org,http://qudt.org/vocab/unit/KiloBTU_TH
active_energy:kiloev,KiloEV,keV,Kilo Electron Volt,Active Energy,1.60E-16,None,qudt.org,http://qudt.org/vocab/unit/KiloEV
active_energy:kilocal,KiloCAL,kcal,Kilocalorie,Active Energy,4184,None,qudt.org,http://qudt.org/vocab/unit/KiloCAL
active_energy:kiloj,KiloJ,kJ,Kilojoule,Active Energy,1000,None,qudt.org,http://qudt.org/vocab/unit/KiloJ
active_energy:kilov-a-hr,KiloV-A-HR,kV⋅A/hr,Kilovolt Ampere Hour,Active Energy,3600000,None,qudt.org,http://qudt.org/vocab/unit/KiloV-A-HR
active_energy:kilov-a_reactive-hr,KiloV-A_Reactive-HR,kV⋅A{Reactive}⋅hr,Kilovolt Ampere Reactive Hour,Active Energy,3600000,None,qudt.org,http://qudt.org/vocab/unit/KiloV-A_Reactive-HR
active_energy:kilow-hr,KiloW-HR,kW⋅h,Kilowatthour,Active Energy,3600000,None,qudt.org,http://qudt.org/vocab/unit/KiloW-HR
active_energy:megaev,MegaEV,MeV,Mega Electron Volt,Active Energy,1.60E-13,None,qudt.org,http://qudt.org/vocab/unit/MegaEV
active_energy:megaj,MegaJ,MJ,Megajoule,Active Energy,1000000,None,qudt.org,http://qudt.org/vocab/unit/MegaJ
active_energy:megatoe,MegaTOE,megatoe,Megaton of Oil Equivalent,Active Energy,4.19E+16,None,qudt.org,http://qudt.org/vocab/unit/MegaTOE
active_energy:megav-a-hr,MegaV-A-HR,MV⋅A⋅hr,Megavolt Ampere Hour,Active Energy,3600000000,None,qudt.org,http://qudt.org/vocab/unit/MegaV-A-HR
active_energy:megav-a_reactive-hr,MegaV-A_Reactive-HR,MV⋅A{Reactive}⋅hr,Megavolt Ampere Reactive Hour,Active Energy,3600000000,None,qudt.org,http://qudt.org/vocab/unit/MegaV-A_Reactive-HR
active_energy:megaw-hr,MegaW-HR,MW⋅hr,Megawatt Hour,Active Energy,3600000000,None,qudt.org,http://qudt.org/vocab/unit/MegaW-HR
active_energy:microj,MicroJ,µJ,Micro Joule,Active Energy,1.00E-06,0,qudt.org,http://qudt.org/vocab/unit/MicroJ
active_energy:millij,MilliJ,mJ,Millijoule,Active Energy,0.001,None,qudt.org,http://qudt.org/vocab/unit/MilliJ
active_energy:petaj,PetaJ,PJ,Petajoule,Active Energy,1E+15,None,qudt.org,http://qudt.org/vocab/unit/PetaJ
active_energy:quad,QUAD,quad,Quad,Active Energy,1.06E+18,None,qudt.org,http://qudt.org/vocab/unit/QUAD
active_energy:thm_eec,THM_EEC,thm{EEC},THM_EEC,Active Energy,None,None,qudt.org,http://qudt.org/vocab/unit/THM_EEC
active_energy:teraj,TeraJ,TJ,Terajoule,Active Energy,1000000000000,None,qudt.org,http://qudt.org/vocab/unit/TeraJ
active_energy:teraw-hr,TeraW-HR,TW⋅hr,Terawatt Hour,Active Energy,3.6E+15,None,qudt.org,http://qudt.org/vocab/unit/TeraW-HR
active_energy:thm_us,THM_US,thm{US},Therm US,Active Energy,105480400,None,qudt.org,http://qudt.org/vocab/unit/THM_US
active_energy:cal_th,CAL_TH,cal,Thermochemical Calorie,Active Energy,4.184,None,qudt.org,http://qudt.org/vocab/unit/CAL_TH
active_energy:tonenergy,TonEnergy,t/lbf,Ton Energy,Active Energy,4184000000,None,qudt.org,http://qudt.org/vocab/unit/TonEnergy
active_energy:toe,TOE,toe,Ton of Oil Equivalent,Active Energy,41868000000,None,qudt.org,http://qudt.org/vocab/unit/TOE
active_energy:v-a-hr,V-A-HR,V⋅A⋅hr,Volt Ampere Hour,Active Energy,3600,None,qudt.org,http://qudt.org/vocab/unit/V-A-HR
active_energy:v-a_reactive-hr,V-A_Reactive-HR,V⋅A{reactive}⋅hr,Volt Ampere Reactive Hour,Active Energy,3600,None,qudt.org,http://qudt.org/vocab/unit/V-A_Reactive-HR
active_energy:w-sec,W-SEC,W⋅s,Watt Second,Active Energy,1,None,qudt.org,http://qudt.org/vocab/unit/W-SEC
active_energy:w-hr,W-HR,W⋅hr,Watthour,Active Energy,3600,None,qudt.org,http://qudt.org/vocab/unit/W-HR
active_energy:j,J,J,joule,Active Energy,1,None,qudt.org,http://qudt.org/vocab/unit/J
active_power:gigaw,GigaW,GW,Gigawatt,Active Power,1000000000,None,qudt.org,http://qudt.org/vocab/unit/GigaW
active_power:kilow,KiloW,kW,Kilowatt,Active Power,1000,None,qudt.org,http://qudt.org/vocab/unit/KiloW
active_power:megaw,MegaW,MW,MegaW,Active Power,1000000,None,qudt.org,http://qudt.org/vocab/unit/MegaW
active_power:microw,MicroW,mW,Microwatt,Active Power,1.00E-06,None,qudt.org,http://qudt.org/vocab/unit/MicroW
active_power:milliw,MilliW,mW,MilliW,Active Power,0.001,None,qudt.org,http://qudt.org/vocab/unit/MilliW
active_power:nanow,NanoW,nW,Nanowatt,Active Power,1.00E-09,None,qudt.org,http://qudt.org/vocab/unit/NanoW
active_power:picow,PicoW,pW,Picowatt,Active Power,1.00E-12,None,qudt.org,http://qudt.org/vocab/unit/PicoW
active_power:teraw,TeraW,TW,Terawatt,Active Power,1000000000000,None,qudt.org,http://qudt.org/vocab/unit/TeraW
active_power:w,W,W,watt,Active Power,1,None,qudt.org,http://qudt.org/vocab/unit/W
activity:ci,Ci,Ci,Curie,Activity,37000000000,None,qudt.org,http://qudt.org/vocab/unit/Ci
activity:gigabq,GigaBQ,GBq,Gigabecquerel,Activity,1000000000,None,qudt.org,http://qudt.org/vocab/unit/GigaBQ
activity:kilobq,KiloBQ,kBq,Kilobecquerel,Activity,1000,None,qudt.org,http://qudt.org/vocab/unit/KiloBQ
activity:kiloci,KiloCi,kCi,Kilocurie,Activity,37000000000000,None,qudt.org,http://qudt.org/vocab/unit/KiloCi
activity:megabq,MegaBQ,MBq,Megabecquerel,Activity,1000000,None,qudt.org,http://qudt.org/vocab/unit/MegaBQ
activity:microci,MicroCi,Î¼Ci,MicroCurie,Activity,37000,None,qudt.org,http://qudt.org/vocab/unit/MicroCi
activity:microbq,MicroBQ,Î¼Bq,Microbecquerel,Activity,1.00E-06,None,qudt.org,http://qudt.org/vocab/unit/MicroBQ
activity:millibq,MilliBQ,mBq,MilliBecquerel,Activity,0.001,None,qudt.org,http://qudt.org/vocab/unit/MilliBQ
activity:millici,MilliCi,mCi,Millicurie,Activity,37000000,None,qudt.org,http://qudt.org/vocab/unit/MilliCi
activity:nanobq,NanoBQ,nBq,NanoBecquerel,Activity,1.00E-09,None,qudt.org,http://qudt.org/vocab/unit/NanoBQ
activity:bq,BQ,Bq,becquerel,Activity,1,None,qudt.org,http://qudt.org/vocab/unit/BQ
activity_coefficient:unitless,UNITLESS,ä¸,Unitless,Activity Coefficient,1,None,qudt.org,http://qudt.org/vocab/unit/UNITLESS
activity_concentration:bq-per-m3,BQ-PER-M3,Bq/m³,Becquerel per Cubic Metre,Activity Concentration,1,None,qudt.org,http://qudt.org/vocab/unit/BQ-PER-M3
activity_concentration:bq-per-l,BQ-PER-L,Bq/L,Becquerels per litre,Activity Concentration,1000,None,qudt.org,http://qudt.org/vocab/unit/BQ-PER-L
activity_concentration:microbq-per-l,MicroBQ-PER-L,µBq/L,Microbecquerels per litre,Activity Concentration,0.001,None,qudt.org,http://qudt.org/vocab/unit/MicroBQ-PER-L
activity_concentration:millibq-per-l,MilliBQ-PER-L,mBq/L,Millibecquerels per litre,Activity Concentration,1,None,qudt.org,http://qudt.org/vocab/unit/MilliBQ-PER-L
activity_concentration:nanobq-per-l,NanoBQ-PER-L,nBq/L,Nanobecquerels per litre,Activity Concentration,1.00E-06,None,qudt.org,http://qudt.org/vocab/unit/NanoBQ-PER-L
admittance:decis,DeciS,dS,DeciSiemens,Admittance,0.1,None,qudt.org,http://qudt.org/vocab/unit/DeciS
admittance:kilos,KiloS,kS,Kilosiemens,Admittance,1000,None,qudt.org,http://qudt.org/vocab/unit/KiloS
admittance:megas,MegaS,MS,MegaSiemens,Admittance,1000000,None,qudt.org,http://qudt.org/vocab/unit/MegaS
admittance:micros,MicroS,Î¼S,Microsiemens,Admittance,1.00E-06,None,qudt.org,http://qudt.org/vocab/unit/MicroS
admittance:millis,MilliS,mS,Millisiemens,Admittance,0.001,None,qudt.org,http://qudt.org/vocab/unit/MilliS
admittance:nanos,NanoS,nS,NanoSiemens,Admittance,1.00E-09,None,qudt.org,http://qudt.org/vocab/unit/NanoS
admittance:picos,PicoS,pS,PicoSiemens,Admittance,1.00E-12,None,qudt.org,http://qudt.org/vocab/unit/PicoS
admittance:s,S,S,siemens,Admittance,1,None,qudt.org,http://qudt.org/vocab/unit/S
aeric_heat_flow_rate:btu_it-per-hr-ft2,BTU_IT-PER-HR-FT2,Btu{IT}/(hr⋅ft²),BTU per Hour Square Foot,Aeric Heat Flow Rate,3.15459075,None,qudt.org,http://qudt.org/vocab/unit/BTU_IT-PER-HR-FT2
aeric_heat_flow_rate:btu_it-per-sec-ft2,BTU_IT-PER-SEC-FT2,Btu{IT}/(s⋅ft²),BTU per Second Square Foot,Aeric Heat Flow Rate,11356.5267,None,qudt.org,http://qudt.org/vocab/unit/BTU_IT-PER-SEC-FT2
aeric_heat_flow_rate:erg-per-centim2-sec,ERG-PER-CentiM2-SEC,erg/(cm²⋅s),Erg per Square Centimetre Second,Aeric Heat Flow Rate,0.001,None,qudt.org,http://qudt.org/vocab/unit/ERG-PER-CentiM2-SEC
