externalId,symbol,longName,quantity,multiplier,offset,source,sourceReference
(amount_of_substance_per_time)_per_area:gram-mole_per_second_square_metre,mol/(s.m2),gram-mole per second square metre,(amount of substance per time) per area,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(amount_of_substance_per_time)_per_area:pound-mass-mole_per_hour_square_foot,lbmol/(h.ft2),pound-mass-mole per hour square foot,(amount of substance per time) per area,1.356229899,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(amount_of_substance_per_time)_per_area:pound-mass-mole_per_second_square_foot,lbmol/(s.ft2),pound-mass-mole per second square foot,(amount of substance per time) per area,4882.427636,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(energy_per_mass)_per_time:millisievert_per_hour,mSv/h,millisievert per hour,(energy per mass) per time,2.78E-07,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(energy_per_mass)_per_time:rem_per_hour,rem/h,rem per hour,(energy per mass) per time,2.78E-06,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(energy_per_mass)_per_time:sievert_per_hour,Sv/h,sievert per hour,(energy per mass) per time,0.0002777777778,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(energy_per_mass)_per_time:sievert_per_second,Sv/s,sievert per second,(energy per mass) per time,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(energy_per_mass)_per_time:thousandth_of_irem_per_hour,mrem/h,thousandth of irem per hour,(energy per mass) per time,2.78E-09,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(mass_per_time)_per_area:gram_foot_per_cubic_centimetre_second,g.ft/(cm3.s),gram foot per cubic centimetre second,(mass per time) per area,304.8,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(mass_per_time)_per_area:gram_metre_per_cubic_centimetre_second,g.m/(cm3.s),gram metre per cubic centimetre second,(mass per time) per area,1000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(mass_per_time)_per_area:kilogram_per_square_metre_second,kg/(m2.s),kilogram per square metre second,(mass per time) per area,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(mass_per_time)_per_area:kilopascal_second_per_metre,kPa.s/m,kilopascal second per metre,(mass per time) per area,1000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(mass_per_time)_per_area:megapascal_second_per_metre,MPa.s/m,megapascal second per metre,(mass per time) per area,1000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(mass_per_time)_per_area:pound-mass_per_square_foot_hour,lbm/(ft2.h),pound-mass per square foot hour,(mass per time) per area,0.001356229899,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(mass_per_time)_per_area:pound-mass_per_square_foot_second,lbm/(ft2.s),pound-mass per square foot second,(mass per time) per area,4.882427636,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(mass_per_time)_per_length:kilogram_per_metre_second,kg/(m.s),kilogram per metre second,(mass per time) per length,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(mass_per_time)_per_length:pascal_second,Pa.s,pascal second,(mass per time) per length,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(mass_per_time)_per_length:pound-mass_per_hour_foot,lbm/(ft.h),pound-mass per hour foot,(mass per time) per length,0.0004133788732,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(mass_per_time)_per_length:pound-mass_per_second_foot,lbm/(ft.s),pound-mass per second foot,(mass per time) per length,1.488163944,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(mass_per_volume)_per_length:gram_per_centimetre_to_the_fourth_power,g/cm4,gram per centimetre to the fourth power,(mass per volume) per length,100000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(mass_per_volume)_per_length:kilogram_per_decimetre_to_the_fourth_power,kg/dm4,kilogram per decimetre to the fourth power,(mass per volume) per length,10000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(mass_per_volume)_per_length:kilogram_per_metre_to_the_fourth_power,kg/m4,kilogram per metre to the fourth power,(mass per volume) per length,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(mass_per_volume)_per_length:pascal_second_squared_per_cubic_metre,Pa.s2/m3,pascal second squared per cubic metre,(mass per volume) per length,1,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(mass_per_volume)_per_length:pound-mass_per_uk_gallon_foot,lbm/(gal[UK].ft),pound-mass per UK gallon foot,(mass per volume) per length,327.350304,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(mass_per_volume)_per_length:pound-mass_per_us_gallon_foot,lbm/(gal[US].ft),pound-mass per US gallon foot,(mass per volume) per length,393.1313232,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(mass_per_volume)_per_length:pound-mass_per_foot_to_the_fourth_power,lbm/ft4,pound-mass per foot to the fourth power,(mass per volume) per length,52.55401369,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_length:metre_to_the_fourth_power_per_second,m4/s,metre to the fourth power per second,(volume per time) length,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_length:thousand_(cubic_metre_per_day)_metre,1000 m4/d,thousand (cubic metre per day) metre,(volume per time) length,0.01157407407,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_length:thousand_barrel_foot_per_day,1000 bbl.ft/d,thousand barrel foot per day,(volume per time) length,0.000560871846,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_(pressure_length):barrel_per_day_foot_psi,bbl/(ft.psi.d),barrel per day foot psi,(volume per time) per (pressure length),8.76E-10,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_(pressure_length):cubic_foot_per_day_foot_psi,ft3/(ft.psi.d),cubic foot per day foot psi,(volume per time) per (pressure length),1.56E-10,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_(pressure_length):square_metre_per_kilopascal_day,m2/(kPa.d),square metre per kilopascal day,(volume per time) per (pressure length),1.16E-08,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_(pressure_length):square_metre_per_pascal_second,m2/(Pa.s),square metre per pascal second,(volume per time) per (pressure length),None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_area:uk_gallon_per_hour_square_foot,gal[UK]/(h.ft2),UK gallon per hour square foot,(volume per time) per area,1.36E-05,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_area:uk_gallon_per_hour_square_inch,gal[UK]/(h.in2),UK gallon per hour square inch,(volume per time) per area,0.00195734822,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_area:uk_gallon_per_minute_square_foot,gal[UK]/(min.ft2),UK gallon per minute square foot,(volume per time) per area,0.0008155617584,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_area:us_gallon_per_hour_square_foot,gal[US]/(h.ft2),US gallon per hour square foot,(volume per time) per area,1.13E-05,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_area:us_gallon_per_hour_square_inch,gal[US]/(h.in2),US gallon per hour square inch,(volume per time) per area,0.001629833333,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_area:us_gallon_per_minute_square_foot,gal[US]/(min.ft2),US gallon per minute square foot,(volume per time) per area,0.0006790972222,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_area:cubic_foot_per_minute_square_foot,ft3/(min.ft2),cubic foot per minute square foot,(volume per time) per area,0.00508,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_area:cubic_foot_per_second_square_foot,ft3/(s.ft2),cubic foot per second square foot,(volume per time) per area,0.3048,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_area:cubic_metre_per_second_square_metre,m3/(s.m2),cubic metre per second square metre,(volume per time) per area,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_length:(cubic_foot_per_day)_per_foot,ft3/(d.ft),(cubic foot per day) per foot,(volume per time) per length,1.08E-06,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_length:(cubic_metre_per_day)_per_metre,m3/(d.m),(cubic metre per day) per metre,(volume per time) per length,1.16E-05,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_length:(cubic_metre_per_hour)_per_metre,m3/(h.m),(cubic metre per hour) per metre,(volume per time) per length,0.0002777777778,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_length:(cubic_metre_per_second)_per_foot,m3/(s.ft),(cubic metre per second) per foot,(volume per time) per length,3.280839895,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_length:(thousand_cubic_foot_per_day)_per_foot,1000 ft3/(d.ft),(thousand cubic foot per day) per foot,(volume per time) per length,0.001075266667,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_length:(thousand_cubic_metre_per_day)_per_metre,1000 m3/(d.m),(thousand cubic metre per day) per metre,(volume per time) per length,0.01157407407,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_length:(thousand_cubic_metre_per_hour)_per_metre,1000 m3/(h.m),(thousand cubic metre per hour) per metre,(volume per time) per length,0.2777777778,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_length:uk_gallon_per_hour_foot,gal[UK]/(h.ft),UK gallon per hour foot,(volume per time) per length,4.14E-06,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_length:uk_gallon_per_hour_inch,gal[UK]/(h.in),UK gallon per hour inch,(volume per time) per length,4.97E-05,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_length:uk_gallon_per_minute_foot,gal[UK]/(min.ft),UK gallon per minute foot,(volume per time) per length,0.000248583224,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_length:us_gallon_per_hour_foot,gal[US]/(h.ft),US gallon per hour foot,(volume per time) per length,3.45E-06,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_length:us_gallon_per_hour_inch,gal[US]/(h.in),US gallon per hour inch,(volume per time) per length,4.14E-05,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_length:us_gallon_per_minute_foot,gal[US]/(min.ft),US gallon per minute foot,(volume per time) per length,0.0002069888333,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_length:barrel_per_day_foot,bbl/(d.ft),barrel per day foot,(volume per time) per length,6.04E-06,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_length:cubic_metre_per_second_metre,m3/(s.m),cubic metre per second metre,(volume per time) per length,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_pressure:(barrel_per_day)_per_kilopascal,bbl/(kPa.d),(barrel per day) per kilopascal,(volume per time) per pressure,1.84E-09,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_pressure:(barrel_per_day)_per_psi,bbl/(psi.d),(barrel per day) per psi,(volume per time) per pressure,2.67E-10,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_pressure:(cubic_metre_per_day)_per_bar,m3/(bar.d),(cubic metre per day) per bar,(volume per time) per pressure,1.16E-10,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_pressure:(cubic_metre_per_day)_per_kilopascal,m3/(kPa.d),(cubic metre per day) per kilopascal,(volume per time) per pressure,1.16E-08,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_pressure:(cubic_metre_per_day)_per_psi,m3/(psi.d),(cubic metre per day) per psi,(volume per time) per pressure,1.68E-09,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_pressure:(cubic_metre_per_hour)_per_bar,m3/(bar.h),(cubic metre per hour) per bar,(volume per time) per pressure,2.78E-09,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_pressure:(cubic_metre_per_hour)_per_kilopascal,m3/(kPa.h),(cubic metre per hour) per kilopascal,(volume per time) per pressure,2.78E-07,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_pressure:(cubic_metre_per_minute)_per_bar,m3/(bar.min),(cubic metre per minute) per bar,(volume per time) per pressure,1.67E-07,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_pressure:(litre_per_minute)_per_bar,L/(bar.min),(litre per minute) per bar,(volume per time) per pressure,1.67E-10,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_pressure:(thousand_cubic_foot_per_day)_per_psi,1000 ft3/(psi.d),(thousand cubic foot per day) per psi,(volume per time) per pressure,4.75E-08,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_pressure:cubic_metre_per_pascal_second,m3/(Pa.s),cubic metre per pascal second,(volume per time) per pressure,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_time:(uk_gallon_per_hour)_per_hour,gal[UK]/h2,(UK gallon per hour) per hour,(volume per time) per time,3.51E-10,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_time:(uk_gallon_per_minute)_per_minute,gal[UK]/min2,(UK gallon per minute) per minute,(volume per time) per time,1.26E-06,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_time:(us_gallon_per_hour)_per_hour,gal[US]/h2,(US gallon per hour) per hour,(volume per time) per time,2.92E-10,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_time:(us_gallon_per_minute)_per_minute,gal[US]/min2,(US gallon per minute) per minute,(volume per time) per time,1.05E-06,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_time:(barrel_per_day)_per_day,bbl/d2,(barrel per day) per day,(volume per time) per time,2.13E-11,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_time:(barrel_per_hour)_per_hour,bbl/h2,(barrel per hour) per hour,(volume per time) per time,1.23E-08,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_time:(cubic_decimetre_per_second)_per_second,dm3/s2,(cubic decimetre per second) per second,(volume per time) per time,0.001,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_time:(cubic_foot_per_day)_per_day,ft3/d2,(cubic foot per day) per day,(volume per time) per time,3.79E-12,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_time:(cubic_foot_per_hour)_per_hour,ft3/h2,(cubic foot per hour) per hour,(volume per time) per time,2.18E-09,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_time:(cubic_foot_per_minute)_per_minute,ft3/min2,(cubic foot per minute) per minute,(volume per time) per time,7.87E-06,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_time:(cubic_foot_per_second)_per_second,ft3/s2,(cubic foot per second) per second,(volume per time) per time,0.02831684659,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_time:(cubic_metre_per_day)_per_day,m3/d2,(cubic metre per day) per day,(volume per time) per time,1.34E-10,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_time:(litre_per_second)_per_second,L/s2,(litre per second) per second,(volume per time) per time,0.001,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_time:cubic_metre_per_second_squared,m3/s2,cubic metre per second squared,(volume per time) per time,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_volume:barrel_per_day_acre_foot,bbl/(d.acre.ft),barrel per day acre foot,(volume per time) per volume,1.49E-09,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(volume_per_time)_per_volume:cubic_metre_per_time_cubic_metre,m3/(s.m3),cubic metre per time cubic metre,(volume per time) per volume,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
api_gamma_ray:api_gamma_ray_unit,gAPI,API gamma ray unit,API gamma ray,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
api_gravity:api_gravity_unit,dAPI,API gravity unit,API gravity,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
api_neutron:api_neutron_unit,nAPI,API neutron unit,API neutron,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
absorbed_dose:centigray,cGy,centigray,absorbed dose,0.01,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
absorbed_dose:decigray,dGy,decigray,absorbed dose,0.1,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
absorbed_dose:exagray,EGy,exagray,absorbed dose,1.00E+18,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
absorbed_dose:femtogray,fGy,femtogray,absorbed dose,1.00E-15,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
absorbed_dose:femtorad,frd,femtorad,absorbed dose,1.00E-17,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
absorbed_dose:gigagray,GGy,gigagray,absorbed dose,1000000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
absorbed_dose:gray,Gy,gray,absorbed dose,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
absorbed_dose:hundredth_of_rad,crd,hundredth of rad,absorbed dose,0.0001,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
absorbed_dose:kilogray,kGy,kilogray,absorbed dose,1000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
absorbed_dose:megagray,MGy,megagray,absorbed dose,1000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
absorbed_dose:microgray,uGy,microgray,absorbed dose,1.00E-06,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
absorbed_dose:milligray,mGy,milligray,absorbed dose,0.001,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
absorbed_dose:million_million_million_rad,Erd,million million million rad,absorbed dose,1.00E+16,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
absorbed_dose:million_million_rad,Trd,million million rad,absorbed dose,10000000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
absorbed_dose:million_rad,Mrd,million rad,absorbed dose,10000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
absorbed_dose:millionth_of_rad,urd,millionth of rad,absorbed dose,1.00E-08,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
absorbed_dose:nanogray,nGy,nanogray,absorbed dose,1.00E-09,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
absorbed_dose:nanorad,nrd,nanorad,absorbed dose,1.00E-11,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
absorbed_dose:picogray,pGy,picogray,absorbed dose,1.00E-12,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
absorbed_dose:picorad,prd,picorad,absorbed dose,1.00E-14,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
absorbed_dose:rad,rd,rad,absorbed dose,0.01,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
absorbed_dose:tenth_of_rad,drd,tenth of rad,absorbed dose,0.001,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
absorbed_dose:teragray,TGy,teragray,absorbed dose,1000000000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
absorbed_dose:thousand_million_rad,Grd,thousand million rad,absorbed dose,10000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
absorbed_dose:thousand_rad,krd,thousand rad,absorbed dose,10,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
absorbed_dose:thousandth_of_rad,mrd,thousandth of rad,absorbed dose,1.00E-05,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
activity_[of_radioactivity]:becquerel,Bq,becquerel,activity [of radioactivity],None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
activity_[of_radioactivity]:curie,Ci,curie,activity [of radioactivity],37000000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
activity_[of_radioactivity]:gigabecquerel,GBq,gigabecquerel,activity [of radioactivity],1000000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
activity_[of_radioactivity]:megabecquerel,MBq,megabecquerel,activity [of radioactivity],1000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
activity_[of_radioactivity]:millionth_of_curie,uCi,millionth of curie,activity [of radioactivity],37000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
activity_[of_radioactivity]:nanocurie,nCi,nanocurie,activity [of radioactivity],37,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
activity_[of_radioactivity]:picocurie,pCi,picocurie,activity [of radioactivity],0.037,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
activity_[of_radioactivity]:terabecquerel,TBq,terabecquerel,activity [of radioactivity],1000000000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
activity_[of_radioactivity]:thousandth_of_curie,mCi,thousandth of curie,activity [of radioactivity],37000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
amount_of_substance:gram-mole,mol,gram-mole,amount of substance,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
amount_of_substance:kilogram-mole,kmol,kilogram-mole,amount of substance,1000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
amount_of_substance:microgram-mole,umol,microgram-mole,amount of substance,1.00E-06,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
amount_of_substance:milligram-mole,mmol,milligram-mole,amount of substance,0.001,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
amount_of_substance:pound-mass-mole,lbmol,pound-mass-mole,amount of substance,453.59237,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
amount_of_substance_per_amount_of_substance:euclid,Euc,euclid,amount of substance per amount of substance,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
amount_of_substance_per_amount_of_substance:mole_per_mole,mol/mol,mole per mole,amount of substance per amount of substance,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
amount_of_substance_per_amount_of_substance:nanoeuclid,nEuc,nanoeuclid,amount of substance per amount of substance,1.00E-09,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
amount_of_substance_per_amount_of_substance:part_per_million,ppm,part per million,amount of substance per amount of substance,1.00E-06,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
amount_of_substance_per_amount_of_substance:part_per_thousand,ppk,part per thousand,amount of substance per amount of substance,0.001,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
amount_of_substance_per_amount_of_substance:percent,%,percent,amount of substance per amount of substance,0.01,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
amount_of_substance_per_amount_of_substance:percent_[molar_basis],%[molar],percent [molar basis],amount of substance per amount of substance,0.01,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
amount_of_substance_per_area:gram-mole_per_square_metre,mol/m2,gram-mole per square metre,amount of substance per area,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
amount_of_substance_per_time:gram-mole_per_second,mol/s,gram-mole per second,amount of substance per time,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
amount_of_substance_per_time:kilogram-mole_per_hour,kmol/h,kilogram-mole per hour,amount of substance per time,0.2777777778,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
amount_of_substance_per_time:kilogram-mole_per_second,kmol/s,kilogram-mole per second,amount of substance per time,1000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
amount_of_substance_per_time:pound-mass-mole_per_hour,lbmol/h,pound-mass-mole per hour,amount of substance per time,0.1259978806,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
amount_of_substance_per_time:pound-mass-mole_per_second,lbmol/s,pound-mass-mole per second,amount of substance per time,453.59237,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
amount_of_substance_per_volume:gram-mole_per_cubic_metre,mol/m3,gram-mole per cubic metre,amount of substance per volume,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
amount_of_substance_per_volume:kilogram-mole_per_cubic_metre,kmol/m3,kilogram-mole per cubic metre,amount of substance per volume,1000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
amount_of_substance_per_volume:pound-mass-mole_per_uk_gallon,lbmol/gal[UK],pound-mass-mole per UK gallon,amount of substance per volume,99776.37266,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
amount_of_substance_per_volume:pound-mass-mole_per_us_gallon,lbmol/gal[US],pound-mass-mole per US gallon,amount of substance per volume,119826.4273,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
amount_of_substance_per_volume:pound-mass-mole_per_cubic_foot,lbmol/ft3,pound-mass-mole per cubic foot,amount of substance per volume,16018.46337,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
angle_per_length:angular_degree_per_foot,dega/ft,angular degree per foot,angle per length,None,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
angle_per_length:angular_degree_per_hundred_foot,0.01 dega/ft,angular degree per hundred foot,angle per length,None,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
angle_per_length:angular_degree_per_metre,dega/m,angular degree per metre,angle per length,None,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
angle_per_length:angular_degree_per_thirty_foot,1/30 dega/ft,angular degree per thirty foot,angle per length,None,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
angle_per_length:angular_degree_per_thirty_metre,1/30 dega/m,angular degree per thirty metre,angle per length,None,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
angle_per_length:radian_per_foot,rad/ft,radian per foot,angle per length,3.280839895,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
angle_per_length:radian_per_metre,rad/m,radian per metre,angle per length,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
angle_per_length:revolution_per_foot,rev/ft,revolution per foot,angle per length,None,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
angle_per_length:revolution_per_metre,rev/m,revolution per metre,angle per length,None,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
angle_per_volume:radian_per_cubic_foot,rad/ft3,radian per cubic foot,angle per volume,35.31466672,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
angle_per_volume:radian_per_cubic_metre,rad/m3,radian per cubic metre,angle per volume,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
angular_acceleration:(revolution_per_minute)_per_second,rpm/s,(revolution per minute) per second,angular acceleration,None,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
angular_acceleration:radian_per_second_squared,rad/s2,radian per second squared,angular acceleration,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
angular_velocity:angular_degree_per_hour,dega/h,angular degree per hour,angular velocity,None,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
